e2186	(11 28)
e2187	(10 27)
e2188	(10 27)
e2189	(10 27)
e2190	(11 28)
e2191	(10 27)
e2192	(10 27)
e2208	(16 33)
e2238	(12 29)
e2240	(12 29)
e2241	(12 29)
e2245	(12 29)
e2248	(12 29)
e2249	(13 30)
e2250	(12 29)
e2252	(12 29)
e2253	(12 29)
e2254	(13 30)
e2255	(13 30)
e2256	(13 30)
e2257	(12 29)
e2258	(12 29)
e2259	(11 28)
e2268	(13 30)
e2273	(12 29)
e2274	(12 29)
e2275	(12 29)
e2282	(12 29)
e2283	(12 29)
e2284	(12 29)
e2285	(10 27)
e2286	(13 30)
e2288	(8 25)
e2289	(9 26)
e2301	(10 27)
e2330	(11 28)
e2331	(11 28)
e2362	(6 23)
e2367	(6 23)
e2373	(6 23)
e2374	(6 23)
e2375	(6 23)
e2376	(6 23)
e2377	(10 27)
e2378	(10 27)
e2380	(11 28)
e2382	(5 22)
e2383	(4 21)
e2384	(5 22)
e2389	(6 23)
e2391	(5 22)
e2397	(5 22)
e2398	(6 23)
e2401	(6 23)
e2406	(5 22)
e2407	(6 23)
e2408	(6 23)
e2413	(7 24)
e2415	(7 24)
e2419	(8 25)
e2420	(9 26)
e2421	(8 25)
e2423	(7 24)
e2424	(6 23)
e2428	(13 30)
e2429	(9 26)
e2430	(10 27)
e2435	(3 20)
e2436	(3 20)
e2437	(3 20)
e2438	(3 20)
e2450	(4 21)
e2451	(3 20)
e2459	(6 23)
e2461	(6 23)
e2462	(6 23)
e2463	(6 23)
e2465	(5 22)
e2466	(4 21)
e2467	(5 22)
e2471	(5 22)
e2472	(5 22)
e2485	(5 22)
e2490	(5 22)
e2491	(7 24)
e2492	(6 23)
e2493	(6 23)
e2499	(4 21)
e2500	(2 19)
e2501	(5 22)
e2506	(2 19)
e2507	(1 18)
e2508	(4 21)
e2509	(7 24)
e2516	(6 23)
e2517	(5 22)
e2518	(6 23)
e2519	(5 22)
e2524	(10 27)
e2532	(3 20)
e2534	(3 20)
e2535	(3 20)
e2536	(3 20)
e2541	(3 20)
e2543	(3 20)
e2556	(3 20)
e2559	(8 25)
e2560	(9 26)
e2561	(5 22)
e2570	(5 22)
e2571	(6 23)
e2572	(5 22)
e2573	(6 23)
e2575	(5 22)
e2577	(1 18)
e2581	(4 21)
e2582	(5 22)
e2583	(4 21)
e2585	(3 20)
e2586	(8 25)
e2588	(9 26)
e2592	(4 21)
e2633	(13 30)
e2636	(12 29)
e2639	(13 30)
e2646	(15 32)
e2647	(15 32)
e2648	(15 32)
e2649	(15 32)
e2653	(15 32)
e2656	(16 33)
e2657	(16 33)
e2660	(14 31)
e2663	(15 32)
