e57	1
e59	1
e69	16
e70	11
e71	12
e72	15
e74	11
e75	10
e82	2
e83	2
e84	1
e85	2
e86	2
e248	5
e249	4
e250	4
e251	6
e256	9
e257	11
e258	11
e264	5
e266	5
e268	5
e269	5
e270	5
e271	5
e277	5
e304	7
e305	7
e306	7
e307	7
e308	7
e309	7
e338	7
e340	7
e341	8
e342	8
e343	8
e344	8
e345	8
e346	8
e348	8
e349	8
e350	7
e351	7
e355	8
e356	8
e357	7
e361	5
e362	5
e364	7
e365	7
e366	7
e367	7
e370	6
e371	8
e380	3
e381	6
e382	6
e384	6
e385	6
e386	6
e392	7
e393	8
e394	10
e395	9
e396	8
e399	8
e400	7
e405	7
e406	7
e407	7
e408	7
e409	7
e410	8
e411	8
e412	8
e414	7
e416	7
e417	7
e418	7
e420	8
e421	6
e427	11
e432	8
e434	9
e435	11
e436	9
e438	9
e439	9
e440	8
e441	7
e442	9
e445	9
e446	9
e447	9
e449	8
e450	9
e460	2
e461	6
e462	3
e464	4
e465	8
e467	8
e470	7
e471	7
e472	7
e474	7
e475	7
e476	7
e477	7
e481	7
e485	6
e488	7
e489	8
e490	8
e498	8
e501	7
e503	7
e504	7
e505	7
e506	7
e508	8
e512	7
e531	7
e535	8
e536	7
e537	8
e547	8
e548	8
e549	8
e552	7
e554	9
e555	10
e556	10
e557	10
e558	10
e565	6
e566	6
e567	6
e568	6
e584	15
e588	7
e595	5
e601	12
e602	12
e662	5
e665	5
e666	3
e702	7
e709	8
e710	8
e720	11
e721	11
e744	5
e745	6
e746	6
e750	5
e753	5
e754	4
e755	4
e760	5
e761	5
e762	5
e763	5
e764	5
e766	5
e767	4
e768	4
e783	6
e784	6
e789	7
e790	7
e792	7
e802	4
e805	8
e808	7
e818	7
e819	8
e845	6
e850	8
e852	6
e853	7
e854	8
e855	7
e857	7
e858	7
e859	7
e860	8
e861	8
e862	8
e863	8
e872	4
e873	5
e874	5
e885	5
e890	6
e896	7
e897	7
e902	2
e903	1
e906	5
e910	8
e917	7
e918	7
e919	7
e920	7
e921	7
e922	7
e940	7
e944	7
e945	6
e947	7
e968	8
e969	8
e970	8
e975	13
e977	1
e979	5
e980	3
e981	8
e982	11
e983	11
e1001	7
e1002	8
e1003	6
e1005	7
e1009	9
e1010	10
e1012	8
e1017	7
e1018	7
e1022	6
e1026	5
e1028	4
e1029	4
e1033	8
e1050	12
e1055	9
e1058	10
e1063	8
e1064	9
e1065	9
e1067	4
e1068	4
e1069	7
e1070	9
e1074	8
e1075	8
e1076	8
e1077	7
e1080	8
e1081	8
e1118	6
e1119	6
e1122	9
e1123	9
e1124	8
e1126	7
e1127	9
e1138	5
e1139	5
e1140	4
e1141	5
e1151	9
e1152	9
e1153	9
e1155	9
e1158	9
e1159	9
e1160	9
e1170	4
e1171	5
e1172	5
e1173	5
e1178	6
e1179	6
e1180	6
e1182	8
e1183	8
e1184	7
e1185	7
e1187	7
e1188	3
e1189	7
e1190	6
e1191	7
e1196	5
e1197	7
e1198	8
e1200	7
e1201	7
e1202	7
e1203	8
e1209	7
e1215	6
e1216	6
e1217	6
e1218	8
e1219	6
e1239	4
e1243	6
e1244	6
e1260	9
e1261	11
e1262	13
e1266	14
e1269	1
e1272	9
e1273	10
e1274	4
e1275	6
e1276	7
e1281	9
e1282	8
e1284	9
e1285	8
e1286	13
e1292	2
e1293	1
e1294	2
e1295	8
e1323	5
e1444	10
e1469	9
e1470	9
e1471	11
e1483	2
e1484	1
e1485	1
e1490	3
e1491	3
e1492	2
e1493	3
e1494	3
e1495	2
e1496	2
e1498	5
e1499	2
e1502	4
e1503	2
e1504	3
e1505	5
e1523	3
e1524	2
e1540	6
e1541	9
e1542	11
e1548	3
e1549	4
e1550	5
e1571	4
e1577	6
e1578	5
e1579	3
e1580	1
e1581	4
e1589	6
e1590	7
e1591	7
e1592	4
e1593	8
e1597	9
e1598	9
e1599	9
e1600	7
e1601	8
e1602	8
e1603	8
e1604	8
e1613	11
e1615	6
e1617	6
e1618	6
e1622	4
e1626	5
e1628	4
e1645	13
e1650	4
e1654	4
e1657	4
e1661	6
e1663	5
e1664	5
e1665	5
e1667	6
e1668	4
e1669	5
e1670	4
e1671	4
e1673	4
e1677	9
e1736	12
e1737	14
e1738	15
e1739	15
e1744	12
e1746	14
e1747	14
e1748	14
e1752	14
e1753	13
e1755	14
e1790	11
e1793	11
e1796	11
e1797	12
e1799	13
e1801	16
e1804	13
e1805	16
e1806	15
e1821	12
e1830	12
e1835	12
e1837	10
e1838	9
e1846	10
e1848	10
e1871	12
e1873	12
e1901	15
e1918	8
e1923	7
e1924	8
e1979	9
e1980	10
e1994	10
e1997	10
e2000	10
e2001	10
e2002	10
e2004	9
e2005	9
e2006	9
e2007	10
e2012	10
e2013	10
e2014	10
e2026	10
e2027	10
e2028	11
e2031	8
e2033	10
e2034	10
e2035	10
e2036	10
e2037	10
e2039	10
e2072	12
e2073	12
e2074	12
e2140	15
e2141	14
