e52	(16 33)
e53	(16 33)
e58	(16 33)
e68	(14 31)
e93	(3 20)
e94	(4 21)
e117	(13 30)
e118	(14 31)
e119	(12 29)
e120	(11 28)
e121	(16 33)
e125	(14 31)
e200	(15 32)
e201	(14 31)
e202	(14 31)
e203	(14 31)
e204	(14 31)
e205	(14 31)
e206	(15 32)
e209	(14 31)
e217	(14 31)
e218	(14 31)
e224	(14 31)
e226	(13 30)
e227	(15 32)
e228	(11 28)
e234	(12 29)
e241	(11 28)
e243	(7 24)
e244	(7 24)
e246	(11 28)
e247	(12 29)
e249	(9 26)
e250	(9 26)
e264	(15 32)
e265	(15 32)
e266	(15 32)
e267	(14 31)
e281	(14 31)
e285	(16 33)
e286	(14 31)
e343	(2 19)
e344	(3 20)
e347	(3 20)
e349	(2 19)
e353	(4 21)
e354	(3 20)
e355	(3 20)
e357	(1 18)
e359	(6 23)
e360	(6 23)
e362	(4 21)
e363	(5 22)
e484	(4 21)
e490	(1 18)
e494	(4 21)
e497	(3 20)
e499	(8 25)
e501	(5 22)
e533	(7 24)
e534	(7 24)
e539	(8 25)
e540	(7 24)
e541	(7 24)
e545	(10 27)
e547	(7 24)
e548	(7 24)
e555	(7 24)
e556	(7 24)
e580	(8 25)
e581	(10 27)
e582	(9 26)
e585	(7 24)
e590	(7 24)
e591	(7 24)
e592	(7 24)
e607	(12 29)
e610	(6 23)
e611	(7 24)
e612	(8 25)
e613	(10 27)
e622	(6 23)
e624	(5 22)
e626	(2 19)
e627	(2 19)
e670	(11 28)
e680	(7 24)
e681	(8 25)
e716	(6 23)
e717	(6 23)
e723	(9 26)
e725	(7 24)
e726	(7 24)
e736	(6 23)
e738	(6 23)
e742	(6 23)
e744	(3 20)
e745	(4 21)
e747	(4 21)
e748	(5 22)
e749	(5 22)
e755	(4 21)
e756	(4 21)
e894	(7 24)
e896	(11 28)
e902	(7 24)
e903	(6 23)
e905	(7 24)
e906	(6 23)
e907	(7 24)
e908	(7 24)
e909	(7 24)
e910	(7 24)
e911	(7 24)
e912	(7 24)
e971	(8 25)
e975	(7 24)
e976	(7 24)
e977	(7 24)
e978	(7 24)
e984	(6 23)
e985	(6 23)
e986	(6 23)
e987	(5 22)
e990	(7 24)
e992	(7 24)
e995	(5 22)
e997	(6 23)
e999	(7 24)
e1000	(7 24)
e1002	(7 24)
e1003	(7 24)
e1043	(9 26)
e1044	(9 26)
e1059	(12 29)
e1062	(15 32)
e1063	(14 31)
e1085	(1 18)
e1113	(5 22)
e1114	(4 21)
e1115	(5 22)
e1116	(5 22)
e1117	(5 22)
e1120	(5 22)
e1121	(5 22)
e1122	(5 22)
e1159	(3 20)
e1160	(3 20)
e1161	(3 20)
e1184	(3 20)
e1185	(3 20)
e1187	(3 20)
e1188	(4 21)
e1193	(3 20)
e1194	(4 21)
e1200	(9 26)
e1205	(3 20)
e1207	(3 20)
e1211	(4 21)
e1215	(7 24)
e1216	(6 23)
e1235	(6 23)
e1236	(5 22)
e1238	(5 22)
e1261	(8 25)
e1262	(6 23)
e1263	(5 22)
e1264	(6 23)
e1265	(6 23)
e1266	(6 23)
e1270	(6 23)
e1271	(6 23)
e1272	(6 23)
e1273	(6 23)
e1275	(12 29)
e1281	(8 25)
e1282	(7 24)
e1288	(5 22)
e1295	(6 23)
e1296	(6 23)
e1299	(7 24)
e1300	(7 24)
e1301	(7 24)
e1302	(7 24)
e1305	(8 25)
e1307	(7 24)
e1308	(7 24)
e1320	(6 23)
e1321	(12 29)
e1322	(8 25)
e1327	(8 25)
e1328	(8 25)
e1329	(8 25)
e1339	(12 29)
e1340	(10 27)
e1341	(9 26)
e1443	(6 23)
e1444	(6 23)
e1445	(6 23)
e1446	(6 23)
e1448	(6 23)
e1451	(4 21)
e1452	(4 21)
e1453	(4 21)
e1455	(7 24)
e1470	(9 26)
e1474	(6 23)
e1475	(7 24)
e1479	(8 25)
e1480	(8 25)
e1481	(8 25)
e1482	(8 25)
e1483	(8 25)
e1488	(8 25)
e1565	(10 27)
e1621	(4 21)
e1622	(6 23)
e1623	(6 23)
e1624	(6 23)
e1625	(7 24)
e1651	(5 22)
e1652	(6 23)
e1666	(6 23)
e1674	(6 23)
e1675	(6 23)
e1676	(6 23)
e1677	(6 23)
e1679	(6 23)
e1680	(6 23)
e1681	(6 23)
e1682	(6 23)
e1683	(6 23)
e1684	(6 23)
e1685	(6 23)
e1689	(6 23)
e1690	(8 25)
e1691	(7 24)
e1692	(7 24)
e1693	(7 24)
e1703	(9 26)
e1704	(3 20)
e1705	(3 20)
e1706	(6 23)
e1724	(7 24)
e1726	(8 25)
e1747	(4 21)
e1748	(7 24)
e1750	(6 23)
e1752	(6 23)
e1759	(6 23)
e1760	(6 23)
e1761	(5 22)
e1762	(6 23)
e1765	(7 24)
e1766	(7 24)
e1771	(4 21)
e1774	(4 21)
e1776	(7 24)
e1777	(6 23)
e1785	(11 28)
e1792	(13 30)
e1798	(11 28)
e1799	(6 23)
e1804	(8 25)
e1880	(3 20)
e1881	(3 20)
e1882	(1 18)
e1885	(2 19)
e1889	(7 24)
e1890	(10 27)
e1891	(8 25)
e1892	(7 24)
e1893	(1 18)
e1898	(4 21)
e1903	(6 23)
e1904	(6 23)
e1909	(13 30)
e1915	(7 24)
e1917	(13 30)
e1918	(11 28)
e1919	(12 29)
e1920	(8 25)
e1921	(8 25)
e1924	(8 25)
e1925	(9 26)
e1926	(7 24)
e1927	(8 25)
e1930	(8 25)
e1931	(8 25)
e1932	(8 25)
e1933	(8 25)
e1948	(12 29)
e1981	(5 22)
e1993	(8 25)
e1995	(6 23)
e1999	(7 24)
e2000	(7 24)
e2011	(8 25)
e2012	(9 26)
e2013	(7 24)
e2046	(2 19)
e2047	(2 19)
e2048	(2 19)
e2052	(4 21)
e2053	(4 21)
e2054	(2 19)
e2055	(2 19)
e2057	(5 22)
e2058	(5 22)
e2070	(9 26)
e2071	(9 26)
e2078	(6 23)
e2080	(10 27)
e2081	(11 28)
e2082	(9 26)
e2090	(3 20)
e2091	(1 18)
e2093	(1 18)
e2094	(6 23)
e2095	(1 18)
e2118	(1 18)
e2181	(15 32)
e2184	(16 33)
e2233	(13 30)
e2237	(6 23)
e2239	(12 29)
e2242	(12 29)
e2243	(12 29)
e2258	(3 20)
e2266	(7 24)
e2267	(7 24)
e2268	(6 23)
e2272	(3 20)
e2275	(5 22)
e2276	(5 22)
e2277	(5 22)
e2278	(5 22)
e2279	(6 23)
e2280	(6 23)
e2281	(5 22)
e2282	(6 23)
e2291	(7 24)
e2312	(3 20)
e2313	(2 19)
e2320	(2 19)
e2321	(2 19)
e2322	(2 19)
e2323	(2 19)
e2324	(1 18)
e2327	(1 18)
e2329	(1 18)
e2333	(1 18)
e2365	(7 24)
e2366	(8 25)
e2368	(6 23)
e2369	(1 18)
e2370	(1 18)
e2375	(2 19)
e2376	(7 24)
e2453	(6 23)
e2454	(6 23)
e2455	(6 23)
e2456	(7 24)
e2457	(8 25)
e2458	(7 24)
e2459	(7 24)
e2525	(10 27)
e2527	(11 28)
e2528	(13 30)
e2531	(10 27)
e2532	(10 27)
e2533	(10 27)
e2535	(9 26)
e2537	(8 25)
e2539	(10 27)
e2569	(8 25)
e2572	(10 27)
e2574	(10 27)
e2575	(8 25)
e2576	(7 24)
e2578	(7 24)
e2579	(6 23)
e2584	(12 29)
e2586	(8 25)
e2588	(5 22)
e2589	(8 25)
e2591	(10 27)
e2600	(12 29)
e2601	(9 26)
e2602	(8 25)
e2608	(8 25)
e2619	(9 26)
e2620	(11 28)
e2629	(9 26)
e2630	(9 26)
e2631	(9 26)
e2632	(8 25)
e2633	(9 26)
e2634	(6 23)
e2636	(5 22)
e2643	(5 22)
e2644	(6 23)
e2646	(7 24)
e2647	(7 24)
e2648	(7 24)
e2680	(16 33)
e2685	(12 29)
e2686	(15 32)
e2717	(11 28)
e2720	(11 28)
e2722	(11 28)
e2723	(11 28)
e2724	(12 29)
e2725	(12 29)
e2731	(8 25)
e2732	(8 25)
e2736	(8 25)
e2737	(9 26)
e2740	(9 26)
e2742	(9 26)
e2751	(16 33)
e2755	(15 32)
e2758	(15 32)
e2761	(15 32)
e2767	(16 33)
e2770	(15 32)
e2771	(15 32)
e2779	(16 33)
e2780	(15 32)
e2829	(7 24)
e2830	(6 23)
e2831	(6 23)
e2832	(7 24)
e2833	(6 23)
e2834	(9 26)
e2836	(4 21)
e2840	(15 32)
e2876	(8 25)
e2877	(8 25)
e2878	(10 27)
e2879	(10 27)
e2881	(10 27)
e2884	(7 24)
e2885	(8 25)
e2887	(7 24)
e2888	(7 24)
e2890	(8 25)
e2996	(10 27)
e2997	(10 27)
e3001	(9 26)
e3002	(9 26)
e3003	(9 26)
e3007	(10 27)
e3008	(11 28)
e3009	(11 28)
e3010	(11 28)
e3011	(11 28)
e3012	(11 28)
e3014	(11 28)
e3015	(11 28)
e3017	(11 28)
e3033	(6 23)
e3034	(6 23)
e3035	(6 23)
e3041	(7 24)
e3042	(7 24)
e3043	(7 24)
e3047	(7 24)
e3048	(7 24)
e3054	(8 25)
e3055	(8 25)
e3056	(8 25)
e3087	(8 25)
e3088	(8 25)
e3089	(8 25)
e3093	(9 26)
e3094	(9 26)
e3095	(9 26)
e3096	(9 26)
e3097	(9 26)
e3098	(9 26)
e3099	(10 27)
e3100	(10 27)
e3104	(7 24)
e3105	(9 26)
e3107	(7 24)
e3108	(7 24)
e3109	(7 24)
e3110	(7 24)
e3111	(7 24)
e3114	(5 22)
e3115	(5 22)
e3116	(5 22)
e3117	(5 22)
e3119	(6 23)
e3122	(6 23)
e3123	(6 23)
e3124	(6 23)
e3125	(6 23)
e3126	(5 22)
e3127	(6 23)
e3128	(7 24)
e3129	(7 24)
e3132	(8 25)
e3136	(7 24)
e3137	(7 24)
e3138	(7 24)
e3139	(6 23)
e3140	(6 23)
e3141	(7 24)
e3142	(7 24)
e3143	(6 23)
e3144	(7 24)
e3146	(7 24)
e3147	(7 24)
e3158	(8 25)
e3163	(7 24)
e3173	(6 23)
e3175	(6 23)
e3176	(7 24)
e3177	(6 23)
e3178	(6 23)
e3180	(6 23)
e3195	(7 24)
e3196	(7 24)
e3197	(7 24)
e3199	(7 24)
e3203	(8 25)
e3204	(9 26)
e3205	(8 25)
e3206	(8 25)
e3209	(7 24)
e3219	(6 23)
e3221	(8 25)
e3222	(8 25)
e3223	(8 25)
