e3	(2 19)
e4	(2 19)
e5	(2 19)
e6	(2 19)
e7	(4 21)
e8	(1 18)
e9	(3 20)
e10	(3 20)
e14	(16 33)
e15	(13 30)
e16	(16 33)
e17	(14 31)
e19	(10 27)
e20	(11 28)
e21	(14 31)
e22	(16 33)
e23	(16 33)
e25	(14 31)
e28	(11 28)
e31	(14 31)
e32	(16 33)
e34	(7 24)
e35	(15 32)
e36	(15 32)
e37	(14 31)
e38	(16 33)
e39	(15 32)
e40	(16 33)
e41	(15 32)
e42	(16 33)
e43	(16 33)
e45	(8 25)
e49	(8 25)
e50	(10 27)
e52	(11 28)
e53	(11 28)
e55	(13 30)
e56	(14 31)
e59	(15 32)
e61	(14 31)
e62	(13 30)
e63	(14 31)
e65	(16 33)
e66	(12 29)
e68	(12 29)
e69	(12 29)
e70	(13 30)
e71	(12 29)
e72	(12 29)
e74	(13 30)
e77	(7 24)
e78	(10 27)
e79	(11 28)
e80	(8 25)
e82	(15 32)
e86	(13 30)
e87	(15 32)
e88	(14 31)
e91	(13 30)
e93	(16 33)
e94	(13 30)
e95	(15 32)
e96	(15 32)
e98	(15 32)
e99	(15 32)
e100	(14 31)
e101	(14 31)
e102	(14 31)
e103	(16 33)
e104	(11 28)
e105	(13 30)
e106	(13 30)
e107	(11 28)
e108	(11 28)
e109	(12 29)
e110	(7 24)
e111	(9 26)
e113	(10 27)
e114	(11 28)
e115	(7 24)
e117	(5 22)
e119	(15 32)
e120	(10 27)
e122	(16 33)
e128	(5 22)
e129	(6 23)
e130	(15 32)
e131	(15 32)
e132	(15 32)
e133	(11 28)
e134	(9 26)
e135	(10 27)
e136	(10 27)
e137	(11 28)
e138	(11 28)
e139	(11 28)
e140	(11 28)
e141	(11 28)
e142	(13 30)
e143	(13 30)
e144	(11 28)
e145	(13 30)
e146	(16 33)
e149	(8 25)
e150	(1 18)
e151	(2 19)
e152	(2 19)
e154	(5 22)
e155	(1 18)
e156	(1 18)
e157	(4 21)
e159	(7 24)
e168	(8 25)
e169	(11 28)
e170	(7 24)
e171	(4 21)
e173	(11 28)
e174	(9 26)
e176	(7 24)
e177	(7 24)
e180	(3 20)
e181	(4 21)
e185	(2 19)
e190	(8 25)
e191	(10 27)
e192	(4 21)
e193	(1 18)
e195	(7 24)
e196	(7 24)
e197	(7 24)
e198	(7 24)
e199	(7 24)
e200	(8 25)
e202	(13 30)
e203	(10 27)
e205	(13 30)
e206	(9 26)
e207	(9 26)
e208	(10 27)
e209	(15 32)
e210	(11 28)
e211	(9 26)
e213	(8 25)
e215	(4 21)
e216	(4 21)
e217	(5 22)
e220	(2 19)
e221	(1 18)
e222	(1 18)
e223	(7 24)
e224	(7 24)
e225	(12 29)
e228	(4 21)
e229	(5 22)
e230	(4 21)
e231	(4 21)
e233	(4 21)
e234	(4 21)
e235	(4 21)
e236	(4 21)
e237	(4 21)
e238	(8 25)
e239	(4 21)
e241	(6 23)
e242	(6 23)
e243	(6 23)
e244	(6 23)
e245	(6 23)
e247	(6 23)
e248	(6 23)
e249	(6 23)
e250	(6 23)
e251	(6 23)
e252	(5 22)
e254	(5 22)
e256	(11 28)
e257	(6 23)
e258	(6 23)
e259	(6 23)
e260	(6 23)
e261	(5 22)
e263	(4 21)
e265	(4 21)
e267	(4 21)
e269	(6 23)
e270	(6 23)
e271	(5 22)
e273	(4 21)
e274	(4 21)
e275	(4 21)
e276	(4 21)
e277	(3 20)
e278	(7 24)
e279	(4 21)
e280	(6 23)
e281	(5 22)
e283	(5 22)
e284	(3 20)
e285	(9 26)
e286	(12 29)
e287	(13 30)
e288	(12 29)
e289	(10 27)
e295	(8 25)
e296	(5 22)
e297	(4 21)
e299	(4 21)
e300	(1 18)
e301	(2 19)
e303	(1 18)
e304	(4 21)
e305	(1 18)
e306	(5 22)
e307	(6 23)
e308	(16 33)
e309	(13 30)
e310	(13 30)
e311	(10 27)
e312	(10 27)
e313	(9 26)
e315	(14 31)
e316	(16 33)
e317	(16 33)
e320	(1 18)
e321	(1 18)
e322	(1 18)
e323	(1 18)
e324	(1 18)
e326	(2 19)
e327	(2 19)
e328	(2 19)
e329	(5 22)
e330	(1 18)
e331	(1 18)
e332	(1 18)
e333	(2 19)
e334	(2 19)
e336	(2 19)
e337	(4 21)
e341	(3 20)
e344	(8 25)
e345	(11 28)
e346	(12 29)
e347	(11 28)
e348	(11 28)
e349	(14 31)
e350	(8 25)
e357	(5 22)
e358	(5 22)
e359	(6 23)
e360	(6 23)
e361	(6 23)
e362	(5 22)
e363	(6 23)
e364	(5 22)
e365	(5 22)
e366	(5 22)
e367	(9 26)
e368	(3 20)
e369	(5 22)
e372	(4 21)
e373	(5 22)
e375	(4 21)
e376	(4 21)
e377	(1 18)
e378	(4 21)
e379	(4 21)
e380	(4 21)
e381	(4 21)
e382	(5 22)
e383	(4 21)
e384	(4 21)
e385	(4 21)
e386	(4 21)
e387	(5 22)
e388	(4 21)
e390	(4 21)
e391	(4 21)
e392	(4 21)
e396	(4 21)
